"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 18 15:44:04 IST 2024","Tue Jun 18 15:44:04 IST 2024","209","","GET /users","","GET /users","should fetch users from page 2","should fetch users from page 2",""
"passed","Tue Jun 18 15:44:04 IST 2024","Tue Jun 18 15:44:05 IST 2024","610","","POST /users","","POST /users","should create a new user","should create a new user",""
